Tabelle: 52411-0013
Insolvenzverfahren (Unternehmen), Voraussichtliche;;;
Forderungen (Unternehmen), Arbeitnehmer: Deutschland,;;;
Monate, Unternehmensgrößenklassen;;;
Statistik über beantragte Insolvenzverfahren;;;;;;
Deutschland;;;;;;
;Insolvenzverfahren (Unternehmen);;Voraussichtliche Forderungen (Unternehmen);;Von Insolvenzverfahren betroffene Arbeitnehmer;
;Anzahl;Anzahl;Tsd. EUR;Tsd. EUR;Anzahl;Anzahl
2020;;;;;;
Unbekannt oder kein Arbeitnehmer;919;e;598631;e;x;
Insgesamt;1513;e;1503238;e;11873;e
Dezember;;;;;;
1 Arbeitnehmer;129;e;41590;e;129;e
2 bis 5 Arbeitnehmer;196;e;420182;e;620;e
6 bis 10 Arbeitnehmer;92;e;483031;e;711;e
11 bis 100 Arbeitnehmer;180;e;360219;e;5314;e
Über 100 Arbeitnehmer;17;e;143947;e;5886;e
Unbekannt oder kein Arbeitnehmer;936;e;977688;e;x;
Insgesamt;1550;e;2426658;e;12660;e
2024;;;;;;
Januar;;;;;;
1 Arbeitnehmer;126;e;109721;e;126;e
2 bis 5 Arbeitnehmer;179;e;330533;e;576;e
6 bis 10 Arbeitnehmer;108;e;60565;e;810;e
11 bis 100 Arbeitnehmer;165;e;643736;e;4546;e
Über 100 Arbeitnehmer;28;e;1355168;e;13437;e
Unbekannt oder kein Arbeitnehmer;1016;e;1038867;e;x;
Insgesamt;1622;e;3538591;e;19495;e
Februar;;;;;;
1 Arbeitnehmer;135;e;40007;e;135;e
2 bis 5 Arbeitnehmer;203;e;158947;e;642;e
6 bis 10 Arbeitnehmer;108;e;81844;e;812;e
11 bis 100 Arbeitnehmer;205;e;408222;e;6149;e
Über 100 Arbeitnehmer;22;e;262565;e;8314;e
Unbekannt oder kein Arbeitnehmer;1112;e;3127731;e;x;
Insgesamt;1785;e;4079314;e;16052;e
März;;;;;;
1 Arbeitnehmer;122;e;55739;e;122;e
2 bis 5 Arbeitnehmer;191;e;109615;e;598;e
6 bis 10 Arbeitnehmer;112;e;72500;e;856;e
11 bis 100 Arbeitnehmer;202;e;439669;e;6004;e
Über 100 Arbeitnehmer;14;e;363445;e;4076;e
Unbekannt oder kein Arbeitnehmer;1161;e;2628761;e;x;
Insgesamt;1802;e;3669728;e;11656;e
April;;;;;;
1 Arbeitnehmer;144;e;56578;e;144;e
