Datum,Jahr,Monat,Monatsnummer,Branchencode,Branche,Eroeffnet,Mangels_Masse_Abgewiesen,Gesamt
2020-12,2020,Dezember,12,WZ08-S,Erbringung von sonstigen Dienstleistungen,43.0,17.0,60.0
2021-01,2021,Januar,1,WZ08-A,"Land- und Forstwirtschaft, Fischerei",4.0,2.0,6.0
2021-01,2021,Januar,1,WZ08-B,Bergbau und Gewinnung von Steinen und Erden,,,
2021-01,2021,Januar,1,WZ08-C,Verarbeitendes Gewerbe,74.0,13.0,87.0
2021-01,2021,Januar,1,WZ08-D,Energieversorgung,,,
2021-01,2021,Januar,1,WZ08-E,"Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.",3.0,1.0,4.0
2021-01,2021,Januar,1,WZ08-F,Baugewerbe,104.0,46.0,150.0
2021-01,2021,Januar,1,WZ08-G,"Handel, Instandhaltung und Reparatur von Kfz",105.0,61.0,166.0
2021-01,2021,Januar,1,WZ08-H,Verkehr und Lagerei,63.0,29.0,92.0
2021-01,2021,Januar,1,WZ08-I,Gastgewerbe,92.0,47.0,139.0
2021-01,2021,Januar,1,WZ08-J,Information und Kommunikation,29.0,11.0,40.0
2021-01,2021,Januar,1,WZ08-K,Erbringung v. Finanz- u. Versicherungsdienstleist.,18.0,10.0,28.0
2021-01,2021,Januar,1,WZ08-L,Grundstücks- und Wohnungswesen,13.0,14.0,27.0
2021-01,2021,Januar,1,WZ08-M,"Freiberufliche, wiss. u. techn. Dienstleistungen",71.0,49.0,120.0
2021-01,2021,Januar,1,WZ08-N,Sonstige wirtschaftliche Dienstleistungen,80.0,39.0,119.0
2021-01,2021,Januar,1,WZ08-O,"Öff. Verwaltung, Verteidigung, Sozialversicherung",,,
2021-01,2021,Januar,1,WZ08-P,Erziehung und Unterricht,10.0,2.0,12.0
2021-01,2021,Januar,1,WZ08-Q,Gesundheits- und Sozialwesen,18.0,4.0,22.0
2021-01,2021,Januar,1,WZ08-R,"Kunst, Unterhaltung und Erholung",15.0,8.0,23.0
2021-01,2021,Januar,1,WZ08-S,Erbringung von sonstigen Dienstleistungen,42.0,31.0,73.0
2021-02,2021,Februar,2,WZ08-A,"Land- und Forstwirtschaft, Fischerei",9.0,3.0,12.0
2021-02,2021,Februar,2,WZ08-B,Bergbau und Gewinnung von Steinen und Erden,,,
2021-02,2021,Februar,2,WZ08-C,Verarbeitendes Gewerbe,77.0,8.0,85.0
2021-02,2021,Februar,2,WZ08-D,Energieversorgung,5.0,3.0,8.0
2021-02,2021,Februar,2,WZ08-E,"Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.",2.0,,
2021-02,2021,Februar,2,WZ08-F,Baugewerbe,133.0,61.0,194.0
2021-02,2021,Februar,2,WZ08-G,"Handel, Instandhaltung und Reparatur von Kfz",129.0,62.0,191.0
2021-02,2021,Februar,2,WZ08-H,Verkehr und Lagerei,61.0,20.0,81.0
2021-02,2021,Februar,2,WZ08-I,Gastgewerbe,87.0,30.0,117.0
2021-02,2021,Februar,2,WZ08-J,Information und Kommunikation,27.0,13.0,40.0
2021-02,2021,Februar,2,WZ08-K,Erbringung v. Finanz- u. Versicherungsdienstleist.,22.0,15.0,37.0
2021-02,2021,Februar,2,WZ08-L,Grundstücks- und Wohnungswesen,24.0,13.0,37.0
2021-02,2021,Februar,2,WZ08-M,"Freiberufliche, wiss. u. techn. Dienstleistungen",72.0,47.0,119.0
2021-02,2021,Februar,2,WZ08-N,Sonstige wirtschaftliche Dienstleistungen,93.0,40.0,133.0
2021-02,2021,Februar,2,WZ08-O,"Öff. Verwaltung, Verteidigung, Sozialversicherung",,,
