Datum,Jahr,Monat,Monatsnummer,Bundesland,Insolvenzen,Veraenderung_Vorjahr_Pct,Forderungen_Tsd_EUR,Betroffene_Arbeitnehmer
2025-06,2025,Juni,6,Sachsen,80.0,56.9,45829.0,301.0
2025-06,2025,Juni,6,Sachsen-Anhalt,41.0,57.7,30159.0,492.0
2025-06,2025,Juni,6,Schleswig-Holstein,69.0,25.5,38892.0,320.0
2025-06,2025,Juni,6,Thüringen,26.0,36.8,15220.0,119.0
2025-07,2025,Juli,7,Baden-Württemberg,243.0,16.3,248737.0,2017.0
2025-07,2025,Juli,7,Bayern,286.0,12.6,312221.0,1205.0
2025-07,2025,Juli,7,Berlin,209.0,1.0,458879.0,788.0
2025-07,2025,Juli,7,Brandenburg,37.0,8.8,21274.0,224.0
2025-07,2025,Juli,7,Bremen,24.0,14.3,7919.0,96.0
2025-07,2025,Juli,7,Hamburg,102.0,59.4,102323.0,232.0
2025-07,2025,Juli,7,Hessen,184.0,14.3,390162.0,1347.0
2025-07,2025,Juli,7,Mecklenburg-Vorpommern,17.0,-22.7,11112.0,72.0
2025-07,2025,Juli,7,Niedersachsen,139.0,-8.6,77573.0,480.0
2025-07,2025,Juli,7,Nordrhein-Westfalen,628.0,18.0,1009570.0,2256.0
2025-07,2025,Juli,7,Rheinland-Pfalz,98.0,34.2,91441.0,370.0
2025-07,2025,Juli,7,Saarland,18.0,-10.0,6906.0,116.0
2025-07,2025,Juli,7,Sachsen,69.0,-13.8,734519.0,428.0
2025-07,2025,Juli,7,Sachsen-Anhalt,31.0,24.0,77238.0,862.0
2025-07,2025,Juli,7,Schleswig-Holstein,86.0,24.6,87282.0,756.0
2025-07,2025,Juli,7,Thüringen,26.0,85.7,16376.0,71.0
2025-08,2025,August,8,Baden-Württemberg,281.0,28.9,254171.0,1221.0
2025-08,2025,August,8,Bayern,280.0,3.3,227607.0,1829.0
2025-08,2025,August,8,Berlin,160.0,15.9,247292.0,857.0
2025-08,2025,August,8,Brandenburg,27.0,8.0,45642.0,182.0
2025-08,2025,August,8,Bremen,17.0,41.7,2882.0,58.0
2025-08,2025,August,8,Hamburg,48.0,-27.3,24438.0,187.0
2025-08,2025,August,8,Hessen,174.0,27.9,362389.0,493.0
2025-08,2025,August,8,Mecklenburg-Vorpommern,20.0,17.6,4431.0,61.0
2025-08,2025,August,8,Niedersachsen,148.0,-19.1,2617640.0,437.0
2025-08,2025,August,8,Nordrhein-Westfalen,555.0,30.9,690072.0,3392.0
2025-08,2025,August,8,Rheinland-Pfalz,61.0,-3.2,37273.0,214.0
2025-08,2025,August,8,Saarland,21.0,23.5,6823.0,102.0
2025-08,2025,August,8,Sachsen,79.0,-1.3,818904.0,1040.0
2025-08,2025,August,8,Sachsen-Anhalt,22.0,-26.7,18355.0,165.0
2025-08,2025,August,8,Schleswig-Holstein,62.0,3.3,26013.0,691.0
2025-08,2025,August,8,Thüringen,24.0,,10621.0,166.0
2025-09,2025,September,9,Baden-Württemberg,189.0,7.4,253608.0,1336.0
2025-09,2025,September,9,Bayern,241.0,-2.8,225920.0,2506.0
2025-09,2025,September,9,Berlin,134.0,-22.5,142045.0,764.0
2025-09,2025,September,9,Brandenburg,31.0,-38.0,98032.0,118.0
2025-09,2025,September,9,Bremen,15.0,-42.3,95679.0,703.0
2025-09,2025,September,9,Hamburg,87.0,35.9,90483.0,1036.0
2025-09,2025,September,9,Hessen,188.0,33.3,108326.0,300.0
2025-09,2025,September,9,Mecklenburg-Vorpommern,16.0,-36.0,4685.0,67.0
2025-09,2025,September,9,Niedersachsen,145.0,-1.4,192297.0,922.0
2025-09,2025,September,9,Nordrhein-Westfalen,559.0,10.7,985644.0,4055.0
2025-09,2025,September,9,Rheinland-Pfalz,96.0,18.5,270956.0,885.0
2025-09,2025,September,9,Saarland,13.0,-45.8,3404.0,33.0
2025-09,2025,September,9,Sachsen,79.0,43.6,272816.0,1171.0
2025-09,2025,September,9,Sachsen-Anhalt,34.0,13.3,113628.0,190.0
2025-09,2025,September,9,Schleswig-Holstein,79.0,29.5,23882.0,272.0
2025-09,2025,September,9,Thüringen,34.0,161.5,46120.0,1045.0
2025-10,2025,Oktober,10,Baden-Württemberg,228.0,-3.4,214130.0,2105.0
2025-10,2025,Oktober,10,Bayern,306.0,6.6,451388.0,2977.0
2025-10,2025,Oktober,10,Berlin,131.0,-31.1,215221.0,1769.0
2025-10,2025,Oktober,10,Brandenburg,40.0,14.3,46440.0,593.0
2025-10,2025,Oktober,10,Bremen,14.0,-6.7,2164.0,174.0
2025-10,2025,Oktober,10,Hamburg,92.0,41.5,496199.0,926.0
2025-10,2025,Oktober,10,Hessen,207.0,39.9,228621.0,549.0
2025-10,2025,Oktober,10,Mecklenburg-Vorpommern,23.0,-11.5,8718.0,226.0
2025-10,2025,Oktober,10,Niedersachsen,173.0,27.2,154446.0,1411.0
